crop,lux,led time,ppfd,weight
Butter lettuce,6324.88,92.86,117.01,1500
Butter lettuce,6324.88,92.86,117.01,1513
Butter lettuce,6324.88,92.86,117.01,1530
Butter lettuce,6324.88,92.86,117.01,1543
Butter lettuce,6324.88,92.86,117.01,1500
Butter lettuce,6324.88,92.86,117.01,1513
Butter lettuce,6324.88,92.86,117.01,1517
Butter lettuce,6324.88,92.86,117.01,1500
Butter lettuce,6324.88,92.86,117.01,1513
Butter lettuce,6324.88,92.86,117.01,1517
Butter lettuce,10526.35,78.57,194.73,1680
Butter lettuce,10526.35,78.57,194.73,1664
Butter lettuce,10526.35,78.57,194.73,1636
Butter lettuce,10526.35,78.57,194.73,1650
Butter lettuce,10526.35,78.57,194.73,1694
Butter lettuce,10526.35,78.57,194.73,1666
Butter lettuce,10526.35,78.57,194.73,1680
Butter lettuce,10526.35,78.57,194.73,1724
Butter lettuce,10526.35,78.57,194.73,1696
Butter lettuce,10526.35,78.57,194.73,1710
Butter lettuce,12558.26,85.71,232.33,1785
Butter lettuce,12558.26,85.71,232.33,1755
Butter lettuce,12558.26,85.71,232.33,1770
Butter lettuce,12558.26,85.71,232.33,1785
Butter lettuce,12558.26,85.71,232.33,1785
Butter lettuce,12558.26,85.71,232.33,1800
Butter lettuce,12558.26,85.71,232.33,1815
Butter lettuce,12558.26,85.71,232.33,1785
Butter lettuce,12558.26,85.71,232.33,1800
Butter lettuce,12558.26,85.71,232.33,1815
